institution, code
"Appalachian State University, I. W. Carpenter, Jr. Herbarium",BOON
Arkansas State University,STAR	
Arkansas Tech University Herbarium, APCR	
"Auburn University, John D. Freeman Herbarium",AUA	
Austin Peay State University Herbarium,APSC	
"Berea College, Ralph L. Thompson Herbarium",BEREA
Bridgewater College Herbarium, BDWR	
"Burgundy Center for Wildlife Studies, Coopers Cove Herbarium",BCWS
Campbell University Herbarium,CAU	
City of Alexandria Herbarium, AVCH	
Clemson University Herbarium, CLEMS	
College of William and Mary Herbarium, WILLI	
Columbus State University Herbarium, COLG	
Converse College Herbarium, CONV	
Delta State University, DSC	
Duke University, DUKE	
East Carolina University Herbarium, ECUH	
East Tennessee State University Herbarium, ETSU	
"Eastern Kentucky University, Ronald L. Jones Herbarium",EKY	
Emory University Herbarium,GEO	
Francis Marion University Herbarium, FMUH	
"Furman University, Ives Herbarium",FUGR	
"George Mason University, Ted R. Bradley Herbarium",GMUF-Plants	
Georgia Southern University Herbarium, GAS	
Georgia Southwestern State University Herbarium, GSW	
Hendrix College Herbarium, HXC	
Highlands Biological Station Herbarium, HBSH	
Institute for Botanical Exploration, IBE	
James Madison University Herbarium, JMUH	
"Longwood University, Harvill-Stevens Herbarium", FARM	
Louisiana State University of Alexandria Herbarium, LSUA	
"Louisiana State University Shreveport, D. T. MacRoberts Herbarium", LSUS	
"Louisiana State University, Shirley C. Tucker Herbarium",LSU-Vascular Plants	
Louisiana Tech University Herbarium, LTU	
"Lynchburg College, Ramsey-Freer Herbarium", LYN	
Marie Selby Botanical Gardens Herbarium, SEL	
Marshall University, MUHW	
McNeese State University Herbarium, MCN	
Mecklenburg County Park and Recreation Herbarium, UNCC	
Middle Tennessee State University, MTSU	
Mississippi Museum of Natural Science Herbarium, MMNS	
Mississippi State University, MISSA	
Morehead State University Herbarium, MDKY	
Murray State University Herbarium, MUR	
Newberry College Herbarium, NBYC	
Nicholls State University Herbarium, THIB	
North Carolina State University Vascular Plant Herbarium, NCSC	
North Carolina Zoological Park, NCZP	
"Northern Kentucky University, John W. Thieret Herbarium", KNK	
Old Dominion University Herbarium, ODU	
Rhodes College Herbarium, SWMT	
"Robert K. Godfrey Herbarium at The Florida State University", FSU	
Salem College, SC	
"Southeastern Louisiana University, Glen N. Montz Herbarium", SELU	
Southern Research Station Herbarium, SFRP	
St. Andrews University, SAPCL	
Stoneville Weed Science Laboratory Herbarium, SWSL	
Tennessee Technological University Herbarium, HTTU	
Troy University Herbarium, TROY	
Tulane Herbarium, NO	
University of Alabama, UNA	
University of Arkansas Herbarium, UARK	
University of Central Arkansas Herbarium, UCAC	
University of Central Florida Herbarium, FTU	
University of Florida Herbarium, FLAS	
University of Georgia Herbarium, GA	
University of Louisiana at Monroe Herbarium, NLU	
University of Louisiana Lafayette Herbarium, USLH	
University of Mary Washington Herbarium, MWCF	
University of Memphis Herbarium, MEM	
"University of Mississippi, Thomas M. Pullen Herbarium", MISS	
University of North Carolina Chapel Hill Herbarium, NCU	
University of North Carolina Pembroke Herbarium, PEMB	
"University of North Carolina, Asheville", UNCA	
University of Richmond Herbarium, URV	
University of South Alabama Herbarium, USAM	
University of South Carolina Salkehatchie Herbarium, SALK	
University of South Carolina Upstate Herbarium, USCS	
"University of South Carolina, A. C. Moore Herbarium", USCH	
University of South Florida Herbarium, USF	
University of Southern Mississippi Herbarium, USMS	
University of Tennessee, TENN	
University of Tennessee Martin Herbarium, UTM	
"University of Tennessee, Chattanooga", UCHT	
"University of the South - Sewanee Herbarium", UOS	
University of West Florida, UWFP	
University of West Georgia Herbarium, WGC	
Valdosta State University Herbarium, VSC	
Vanderbilt University Herbarium, VDB	
Virginia Commonwealth University Herbarium, VCU	
"Virginia Polytechnic Institute and State University, Massey Herbarium", VPI	
Virginia State University Herbarium, VSUH	
Wake Forest University, WFU	
West Virginia University Herbarium, WVA	
"West Virginia Wesleyan College, George B. Rossbach Herbarium", WVW	
Western Carolina University Herbarium, WCUH	
Weymouth Woods Sandhills Nature Preserve Herbarium, WEWO	
Winthrop University Herbarium, WINU	
